batch_avg_latency,batch_data_size_mb,batch_median_latency,batch_throughput,cdc_avg_latency,cdc_data_size_mb,cdc_median_latency,cdc_throughput,intensity,pg_avg_cpu,pg_avg_io_rw,trial,width_days
43.90548513035047,0,41.04683609867642,0,2.435624165506467,0,2.0734386324806655,0,low,0,0,1,7
33.678549731853344,0,34.871926193492335,0,3.2696827817675986,0,2.6304343702990263,0,low,0,0,2,7
34.932569693433706,0,41.62442605211609,0,2.108042356722273,0,3.1321641702193466,0,low,0,0,3,7
34.65345852936883,0,37.54991878528148,0,1.7768808373897096,0,2.2578065172874826,0,low,0,0,1,30
31.22626947001234,0,44.48480128396996,0,3.205956029575042,0,2.2905042930887296,0,low,0,0,2,30
34.40106602310536,0,41.33583206101986,0,1.5580855094839479,0,3.11494506655042,0,low,0,0,3,30
29.074158485001487,0,32.73129311618493,0,2.5015441184139124,0,2.511628226354481,0,low,0,0,1,90
32.54341813616141,0,40.92422407874961,0,1.6053759227777415,0,3.016427751390548,0,low,0,0,2,90
27.032761483214856,0,41.65638846415539,0,2.6827187566767092,0,2.300733536798778,0,low,0,0,3,90
33.082786864479914,0,27.30152636011271,0,2.287145673771078,0,1.7496244249802821,0,medium,0,0,1,7
30.175927593429638,0,39.62991274484895,0,3.3312624681576937,0,3.056458794902264,0,medium,0,0,2,7
35.57092538580635,0,40.54203021252284,0,1.766434178619141,0,3.031056260524588,0,medium,0,0,3,7
35.15389654812866,0,44.63209818686887,0,3.478896479464531,0,2.502268951235407,0,medium,0,0,1,30
36.508313728345954,0,30.516892323336556,0,2.047328068837987,0,2.8378140316357428,0,medium,0,0,2,30
37.74199522037171,0,42.242858507354626,0,1.625929137076634,0,2.51950302244594,0,medium,0,0,3,30
43.356988606826285,0,35.862715026675446,0,3.0753981271461575,0,2.103882095340394,0,high,0,0,1,7
35.450815014823554,0,41.668074102820455,0,2.5279259636304934,0,3.0185108531808424,0,high,0,0,2,7
44.90856518284771,0,34.77346842779528,0,2.243983995317608,0,2.9023530069763943,0,high,0,0,3,7
41.635255205974325,0,37.1484441543122,0,2.93349877635804,0,3.0999899193361715,0,high,0,0,1,30
44.467408754341804,0,43.35908428957821,0,2.4782724580513875,0,1.9078209492828482,0,high,0,0,2,30
28.32665444192585,0,42.15742947027192,0,3.2268388713160796,0,3.3890725244288236,0,high,0,0,3,30
35.247189775890604,0,39.34766051965834,0,3.1053250426909056,0,3.120229748226946,0,high,0,0,1,90
32.149944903479785,0,33.1617816761505,0,2.637673581419973,0,3.0702804544486,0,high,0,0,2,90
43.64997345749155,0,42.55963699234798,0,2.6152361357486935,0,1.6529592381109035,0,high,0,0,3,90
